date,open,high,low,close
Aug 01,100,104,98,102
Aug 02,102,103,97,99
Aug 03,99,101,96,98
Aug 04,98,103,97,101
Aug 05,101,106,100,105
Aug 06,105,107,101,103
Aug 07,103,105,99,100
Aug 08,100,102,96,98
Aug 09,98,101,95,100
Aug 10,100,106,99,104
Aug 11,104,109,103,108
Aug 12,108,111,105,107
Aug 13,107,110,104,109
Aug 14,109,114,108,113
Aug 15,113,116,110,112
Aug 16,112,118,111,117
Aug 17,117,121,115,119
Aug 18,119,120,114,116
Aug 19,116,119,112,114
Aug 20,114,118,113,117
Aug 21,117,123,116,121
Aug 22,121,126,120,124
Aug 23,124,127,121,123
Aug 24,123,125,118,120
Aug 25,120,122,115,117
Aug 26,117,119,111,113
Aug 27,113,116,108,110
Aug 28,110,113,104,106
