learner,date,count
steady-1,Jun 22,2.6
steady-1,Jun 29,3.6
steady-1,Jul 06,4.6
steady-1,Jul 13,0.6
steady-1,Jul 20,1.6
steady-1,Jul 27,2.6
steady-1,Aug 03,3.6
steady-1,Aug 10,4.6
steady-1,Aug 17,0.6
steady-1,Aug 24,1.6
steady-1,Aug 31,2.6
steady-1,Sep 07,3.6
steady-1,Sep 14,4.6
steady-1,Sep 21,0.6
steady-1,Sep 28,1.6
steady-2,Jun 22,4.6
steady-2,Jun 29,1.6
steady-2,Jul 06,3.6
steady-2,Jul 13,0.6
steady-2,Jul 20,2.6
steady-2,Jul 27,4.6
steady-2,Aug 03,1.6
steady-2,Aug 10,3.6
steady-2,Aug 17,0.6
steady-2,Aug 24,2.6
steady-2,Aug 31,4.6
steady-2,Sep 07,1.6
steady-2,Sep 14,3.6
steady-2,Sep 21,0.6
steady-2,Sep 28,2.6
steady-3,Jun 22,1.6
steady-3,Jun 29,4.6
steady-3,Jul 06,2.6
steady-3,Jul 13,0.6
steady-3,Jul 20,3.6
steady-3,Jul 27,1.6
steady-3,Aug 03,4.6
steady-3,Aug 10,2.6
steady-3,Aug 17,0.6
steady-3,Aug 24,3.6
steady-3,Aug 31,1.6
steady-3,Sep 07,4.6
steady-3,Sep 14,2.6
steady-3,Sep 21,0.6
steady-3,Sep 28,3.6
steady-4,Jun 22,3.6
steady-4,Jun 29,2.6
steady-4,Jul 06,1.6
steady-4,Jul 13,0.6
steady-4,Jul 20,4.6
steady-4,Jul 27,3.6
steady-4,Aug 03,2.6
steady-4,Aug 10,1.6
steady-4,Aug 17,0.6
steady-4,Aug 24,4.6
steady-4,Aug 31,3.6
steady-4,Sep 07,2.6
steady-4,Sep 14,1.6
steady-4,Sep 21,0.6
steady-4,Sep 28,4.6
early-risk-1,Jun 22,0.6
early-risk-1,Jun 29,0.6
early-risk-1,Jul 06,0.6
early-risk-1,Jul 13,0.6
early-risk-1,Jul 20,0.6
early-risk-1,Jul 27,0.6
early-risk-1,Aug 03,3
early-risk-1,Aug 10,4
early-risk-1,Aug 17,1
early-risk-1,Aug 24,2
early-risk-1,Aug 31,0.6
early-risk-1,Sep 07,0.6
early-risk-1,Sep 14,0.6
early-risk-1,Sep 21,0.6
early-risk-1,Sep 28,0.6
early-risk-2,Jun 22,2.6
early-risk-2,Jun 29,3.6
early-risk-2,Jul 06,4.6
early-risk-2,Jul 13,0.6
early-risk-2,Jul 20,1.6
early-risk-2,Jul 27,2.6
early-risk-2,Aug 03,3.6
early-risk-2,Aug 10,1
early-risk-2,Aug 17,2
early-risk-2,Aug 24,3
early-risk-2,Aug 31,2.6
early-risk-2,Sep 07,3.6
early-risk-2,Sep 14,4.6
early-risk-2,Sep 21,0.6
early-risk-2,Sep 28,1.6
early-risk-3,Jun 22,4.6
early-risk-3,Jun 29,1.6
early-risk-3,Jul 06,3.6
early-risk-3,Jul 13,0.6
early-risk-3,Jul 20,2.6
early-risk-3,Jul 27,4
early-risk-3,Aug 03,1
early-risk-3,Aug 10,2
early-risk-3,Aug 17,3
early-risk-3,Aug 24,4
early-risk-3,Aug 31,4.6
early-risk-3,Sep 07,1.6
early-risk-3,Sep 14,3.6
early-risk-3,Sep 21,0.6
early-risk-3,Sep 28,2.6
early-risk-4,Jun 22,1.6
early-risk-4,Jun 29,4.6
early-risk-4,Jul 06,2.6
early-risk-4,Jul 13,0.6
early-risk-4,Jul 20,3.6
early-risk-4,Jul 27,1.6
early-risk-4,Aug 03,2
early-risk-4,Aug 10,3
early-risk-4,Aug 17,4
early-risk-4,Aug 24,1
early-risk-4,Aug 31,1.6
early-risk-4,Sep 07,4.6
early-risk-4,Sep 14,2.6
early-risk-4,Sep 21,0.6
early-risk-4,Sep 28,3.6
mid-risk-1,Jun 22,3.6
mid-risk-1,Jun 29,2.6
mid-risk-1,Jul 06,1.6
mid-risk-1,Jul 13,0.6
mid-risk-1,Jul 20,4.6
mid-risk-1,Jul 27,2
mid-risk-1,Aug 03,3
mid-risk-1,Aug 10,4
mid-risk-1,Aug 17,1
mid-risk-1,Aug 24,2
mid-risk-1,Aug 31,3.6
mid-risk-1,Sep 07,2.6
mid-risk-1,Sep 14,1.6
mid-risk-1,Sep 21,0.6
mid-risk-1,Sep 28,4.6
mid-risk-2,Jun 22,0.6
mid-risk-2,Jun 29,0.6
mid-risk-2,Jul 06,0.6
mid-risk-2,Jul 13,1
mid-risk-2,Jul 20,2
mid-risk-2,Jul 27,3
mid-risk-2,Aug 03,4
mid-risk-2,Aug 10,1
mid-risk-2,Aug 17,2
mid-risk-2,Aug 24,3
mid-risk-2,Aug 31,0.6
mid-risk-2,Sep 07,0.6
mid-risk-2,Sep 14,0.6
mid-risk-2,Sep 21,3
mid-risk-2,Sep 28,4
mid-risk-3,Jun 22,2.6
mid-risk-3,Jun 29,3.6
mid-risk-3,Jul 06,4.6
mid-risk-3,Jul 13,0.6
mid-risk-3,Jul 20,3
mid-risk-3,Jul 27,4
mid-risk-3,Aug 03,1
mid-risk-3,Aug 10,2
mid-risk-3,Aug 17,3
mid-risk-3,Aug 24,4
mid-risk-3,Aug 31,2.6
mid-risk-3,Sep 07,3.6
mid-risk-3,Sep 14,4.6
mid-risk-3,Sep 21,0.6
mid-risk-3,Sep 28,1
mid-risk-4,Jun 22,4.6
mid-risk-4,Jun 29,1.6
mid-risk-4,Jul 06,3.6
mid-risk-4,Jul 13,0.6
mid-risk-4,Jul 20,2.6
mid-risk-4,Jul 27,1
mid-risk-4,Aug 03,2
mid-risk-4,Aug 10,3
mid-risk-4,Aug 17,4
mid-risk-4,Aug 24,1
mid-risk-4,Aug 31,4.6
mid-risk-4,Sep 07,1.6
mid-risk-4,Sep 14,3.6
mid-risk-4,Sep 21,0.6
mid-risk-4,Sep 28,2.6
recovering-1,Jun 22,1.6
recovering-1,Jun 29,4.6
recovering-1,Jul 06,2.6
recovering-1,Jul 13,0.6
recovering-1,Jul 20,3.6
recovering-1,Jul 27,1.6
recovering-1,Aug 03,4.6
recovering-1,Aug 10,4
recovering-1,Aug 17,1
recovering-1,Aug 24,2
recovering-1,Aug 31,1.6
recovering-1,Sep 07,4.6
recovering-1,Sep 14,2.6
recovering-1,Sep 21,0.6
recovering-1,Sep 28,3.6
recovering-2,Jun 22,3.6
recovering-2,Jun 29,2.6
recovering-2,Jul 06,1.6
recovering-2,Jul 13,0.6
recovering-2,Jul 20,4.6
recovering-2,Jul 27,3.6
recovering-2,Aug 03,2.6
recovering-2,Aug 10,1.6
recovering-2,Aug 17,2
recovering-2,Aug 24,3
recovering-2,Aug 31,3.6
recovering-2,Sep 07,2.6
recovering-2,Sep 14,1.6
recovering-2,Sep 21,0.6
recovering-2,Sep 28,4.6
recovering-3,Jun 22,0.6
recovering-3,Jun 29,0.6
recovering-3,Jul 06,0.6
recovering-3,Jul 13,0.6
recovering-3,Jul 20,0.6
recovering-3,Jul 27,0.6
recovering-3,Aug 03,0.6
recovering-3,Aug 10,0.6
recovering-3,Aug 17,0.6
recovering-3,Aug 24,4
recovering-3,Aug 31,0.6
recovering-3,Sep 07,0.6
recovering-3,Sep 14,0.6
recovering-3,Sep 21,0.6
recovering-3,Sep 28,0.6
recovering-4,Jun 22,2.6
recovering-4,Jun 29,3.6
recovering-4,Jul 06,4.6
recovering-4,Jul 13,0.6
recovering-4,Jul 20,1.6
recovering-4,Jul 27,2.6
recovering-4,Aug 03,3.6
recovering-4,Aug 10,3
recovering-4,Aug 17,4
recovering-4,Aug 24,1
recovering-4,Aug 31,2.6
recovering-4,Sep 07,3.6
recovering-4,Sep 14,4.6
recovering-4,Sep 21,0.6
recovering-4,Sep 28,1.6
