date,type,value
18-Jun,Assessment,15.160000
18-Jun,Course Content,13.905182
18-Jun,Questions,10.502006
18-Jun,General,7.000000
25-Jun,Assessment,18.200469
25-Jun,Course Content,14.414272
25-Jun,Questions,9.877889
25-Jun,General,7.000000
02-Jul,Assessment,18.534313
02-Jul,Course Content,12.779632
02-Jul,Questions,8.516367
02-Jul,General,7.000000
09-Jul,Assessment,15.618036
09-Jul,Course Content,9.861969
09-Jul,Questions,7.256907
09-Jul,General,7.000000
16-Jul,Assessment,11.127262
16-Jul,Course Content,7.451536
16-Jul,Questions,6.910231
16-Jul,General,7.000000
23-Jul,Assessment,7.820979
23-Jul,Course Content,7.028505
23-Jul,Questions,7.688774
23-Jul,General,7.000000
30-Jul,Assessment,7.630370
30-Jul,Course Content,8.737798
30-Jul,Questions,9.059649
30-Jul,General,7.000000
06-Aug,Assessment,10.342604
06-Aug,Course Content,11.313425
06-Aug,Questions,10.125520
06-Aug,General,7.000000
13-Aug,Assessment,13.819218
13-Aug,Course Content,13.001867
13-Aug,Questions,10.258040
13-Aug,General,7.000000
20-Aug,Assessment,15.578982
20-Aug,Course Content,12.813547
20-Aug,Questions,9.527417
20-Aug,General,7.000000
27-Aug,Assessment,14.590926
27-Aug,Course Content,11.198050
27-Aug,Questions,8.621169
27-Aug,General,7.000000
03-Sep,Assessment,11.977705
03-Sep,Course Content,9.660887
03-Sep,Questions,8.316555
03-Sep,General,7.000000
10-Sep,Assessment,10.127039
10-Sep,Course Content,9.610291
10-Sep,Questions,8.894746
10-Sep,General,7.000000
17-Sep,Assessment,10.869501
17-Sep,Course Content,11.281973
17-Sep,Questions,9.925831
17-Sep,General,7.000000
