month,zika,mers,ebola,cellPhonesTumors,swineFlu,birdFlu,killerWasps,sars,asteroids,madCow,vaccinesAutism,violentVideoGames,millenniumBug
0,0.6,0.5,0.4,55.2,0.5,2.3,13.6,36.9,46.1,76.7,23.8,31.8,56.2
1,0.7,0.5,0.6,61.8,1.0,4.2,15.0,46.3,52.5,65.0,18.4,27.3,79.7
2,0.6,0.4,0.4,82.1,0.8,1.6,6.0,37.0,59.5,56.1,22.1,32.7,100.0
3,0.3,0.8,0.5,86.7,0.5,2.1,19.8,17.4,66.5,46.8,22.7,34.5,68.4
4,0.6,0.7,0.3,83.3,0.8,3.1,17.7,7.7,63.7,39.7,13.9,34.0,49.7
5,0.7,0.4,0.6,65.1,0.7,1.7,18.4,5.3,51.3,33.7,14.8,30.8,47.8
6,0.6,0.4,0.4,49.3,0.5,2.7,36.6,6.6,44.0,28.6,13.8,29.3,46.8
7,0.3,0.4,0.4,42.6,0.7,1.5,58.4,9.1,37.2,25.3,17.4,27.3,39.6
8,0.2,0.8,0.5,43.3,0.4,1.8,42.4,9.7,36.2,21.4,21.6,27.7,43.0
9,1.0,0.6,0.3,40.7,0.7,3.6,24.2,5.8,32.9,17.8,14.9,26.4,42.4
10,0.5,0.6,0.5,43.4,0.9,2.7,13.4,5.5,38.3,15.8,19.2,24.4,36.9
11,1.0,0.4,0.3,39.4,0.5,4.3,16.1,5.9,38.2,12.8,19.2,21.6,40.3
12,0.8,0.7,0.2,38.8,0.5,3.1,18.8,7.0,39.0,11.9,15.0,21.7,35.9
13,0.6,0.5,0.3,37.5,0.4,2.0,10.3,7.1,35.5,9.8,14.6,15.9,31.5
14,0.8,0.4,0.4,42.6,1.0,3.5,17.4,10.3,34.6,9.0,13.1,15.0,32.3
15,0.3,0.3,0.5,42.9,0.4,7.2,7.2,10.4,31.8,7.4,16.9,17.6,32.8
16,0.3,0.5,0.4,35.5,1.1,7.5,15.9,4.2,37.1,6.8,10.9,20.5,34.4
17,0.5,0.4,0.5,40.0,0.6,11.9,7.1,10.8,31.3,6.2,9.2,22.8,28.3
18,0.4,0.4,0.5,37.7,0.4,19.3,16.1,8.3,33.8,5.3,16.6,18.3,31.6
19,0.3,0.7,0.3,35.3,0.7,35.6,19.6,8.1,35.7,4.5,13.2,25.2,24.2
20,0.2,0.3,0.6,35.0,1.1,57.9,7.9,5.9,34.9,4.0,9.8,30.0,30.5
21,0.7,0.5,0.3,38.2,0.8,77.5,8.2,8.4,34.1,3.9,13.7,34.4,29.1
22,0.5,0.6,0.4,38.1,0.8,78.2,18.4,9.9,29.5,3.0,18.8,36.9,25.0
23,0.3,0.8,0.3,31.7,0.8,74.6,19.9,8.7,38.2,2.4,14.2,33.2,23.0
24,0.7,0.4,0.5,38.3,0.8,72.7,13.0,9.4,33.8,2.1,14.0,38.0,27.0
25,0.3,0.5,0.4,41.3,0.9,70.7,10.8,8.3,34.0,2.2,17.7,42.2,22.9
26,0.5,0.7,0.5,43.4,0.5,63.5,7.6,6.8,28.9,2.2,16.9,51.7,22.7
27,0.3,0.3,0.4,61.7,0.6,51.5,15.5,6.7,35.8,1.7,21.9,49.4,20.0
28,0.5,0.5,0.5,69.5,0.7,41.0,9.4,8.8,37.5,1.5,17.7,37.6,16.5
29,0.9,0.4,0.6,64.5,0.6,30.7,24.8,5.1,37.1,1.6,19.4,28.5,21.9
30,0.8,0.3,0.6,48.2,0.5,23.4,41.5,7.1,35.3,2.1,20.3,26.4,17.9
