institution,trust,distrust,trust2008,trust2010,trust2012,trust2014,trust2016,distrust2008,distrust2010,distrust2012,distrust2014,distrust2016
Reniec,83,16,0.670000,0.834147,0.920930,0.924112,0.914320,0.097385,0.113499,0.098814,0.140384,0.273540
Radio,70,25,0.604422,0.719166,0.742738,0.727016,0.760008,0.149847,0.134922,0.152247,0.259446,0.431512
ONPE,63,33,0.568545,0.617546,0.604446,0.614840,0.712724,0.164163,0.162842,0.241655,0.401691,0.569367
Fuerzas Armadas,60,33,0.526321,0.524158,0.518172,0.587419,0.741784,0.101223,0.151755,0.292612,0.467844,0.589894
Banco Central de Reserva,60,29,0.473499,0.458814,0.500384,0.633540,0.809411,0.030631,0.146873,0.321154,0.466792,0.523440
Iglesia Catolica,58,39,0.384922,0.402247,0.509446,0.681512,0.833800,0.146773,0.311681,0.475044,0.560217,0.562445
Empresas privadas,58,35,0.332842,0.411655,0.571691,0.739367,0.834073,0.162058,0.335699,0.448936,0.471212,0.455598
Defensoria del Pueblo,57,36,0.311755,0.452612,0.627844,0.749894,0.780102,0.240485,0.378817,0.426297,0.412824,0.424336
Empresas encuestadoras,57,34,0.346873,0.521154,0.666792,0.723440,0.712567,0.269871,0.345460,0.342478,0.337217,0.408067
Sunat,55,41,0.391681,0.555044,0.640217,0.642445,0.633231,0.346989,0.361910,0.347493,0.390545,0.525035
INEI,55,26,0.455699,0.568936,0.591212,0.575598,0.610001,0.158492,0.143352,0.161906,0.270647,0.443151
Hospitales del sector Salud,52,45,0.458817,0.506297,0.492824,0.504336,0.603802,0.282485,0.282030,0.362455,0.523368,0.690378
Jurado Nacional de Elecciones,50,45,0.425460,0.422478,0.417217,0.488067,0.643440,0.220013,0.272082,0.414177,0.589207,0.709803
Indecopi,48,39,0.351910,0.337493,0.380545,0.515035,0.690866,0.130456,0.248186,0.422747,0.567201,0.622288
ONG,45,45,0.253352,0.271906,0.380647,0.553151,0.704370,0.207717,0.373362,0.535916,0.619479,0.620775
Municipalidad distrital,43,54,0.182030,0.262455,0.423368,0.590378,0.683490,0.353677,0.526957,0.638677,0.659674,0.644195
Essalud,43,52,0.172082,0.314177,0.489207,0.609803,0.638640,0.402017,0.539061,0.585029,0.571210,0.583860
Prensa escrita,43,51,0.208186,0.382747,0.527201,0.582288,0.570914,0.440595,0.514575,0.510796,0.506286,0.578742
Television,42,54,0.263362,0.425916,0.509479,0.510775,0.502165,0.476566,0.490312,0.476189,0.520734,0.656543
Policia Nacional,39,55,0.296957,0.408677,0.429674,0.414195,0.450023,0.447120,0.431793,0.451593,0.561869,0.734783
Municipalidad provincial,39,53,0.329061,0.375029,0.361210,0.373860,0.474901,0.360809,0.361243,0.443280,0.605046,0.771367
Tribunal Constitucional,36,54,0.284575,0.280796,0.276286,0.348742,0.505100,0.308821,0.362437,0.505752,0.680554,0.799683
Iglesias evangelicas,35,59,0.220312,0.206189,0.250734,0.386543,0.562307,0.330310,0.449517,0.624331,0.767582,0.821116
Sindicatos,31,62,0.111793,0.131593,0.241869,0.414783,0.564912,0.378684,0.545042,0.706764,0.788716,0.789102
Fiscalia de la Nacion,25,70,0.001243,0.083280,0.245046,0.411367,0.502880,0.515303,0.688196,0.798391,0.818125,0.802807
Contraloria General de la Republica,23,62,0.000000,0.115752,0.290554,0.409683,0.437164,0.503537,0.639277,0.683742,0.669604,0.683411
CGTP,22,62,0.000000,0.174331,0.317582,0.371116,0.359266,0.551295,0.623666,0.619115,0.615378,0.689442
Poder Ejecutivo,20,73,0.045042,0.206764,0.288716,0.289102,0.281120,0.666115,0.678705,0.664904,0.710951,0.848064
Confiep,20,42,0.108196,0.218391,0.238125,0.222807,0.260072,0.315732,0.300244,0.321308,0.433109,0.606409
Poder Judicial,16,79,0.099277,0.143742,0.129604,0.143411,0.246022,0.619136,0.620481,0.704129,0.866726,1.000000
Congreso de la Republica,12,84,0.043666,0.039115,0.035378,0.109442,0.266765,0.607651,0.662820,0.807336,0.981884,1.000000
Partidos politicos,12,82,0.000000,0.000000,0.020951,0.158064,0.333732,0.560192,0.680864,0.855906,0.997936,1.000000
