year,sport,count
1896,Athletics,4
1896,Swimming,6
1896,Gymnastics,6
1896,Cycling,5
1896,Rowing,3
1896,Fencing,1
1900,Athletics,6
1900,Swimming,6
1900,Gymnastics,5
1900,Cycling,3
1900,Rowing,1
1900,Fencing,1
1900,Boxing,2
1904,Athletics,6
1904,Swimming,6
1904,Gymnastics,4
1904,Cycling,1
1904,Rowing,1
1904,Fencing,1
1904,Boxing,3
1904,Wrestling,5
1908,Athletics,6
1908,Swimming,4
1908,Gymnastics,2
1908,Cycling,1
1908,Rowing,1
1908,Fencing,3
1908,Boxing,4
1908,Wrestling,5
1908,Sailing,4
1912,Athletics,5
1912,Swimming,2
1912,Gymnastics,1
1912,Cycling,1
1912,Rowing,2
1912,Fencing,4
1912,Boxing,5
1912,Wrestling,4
1912,Sailing,3
1912,Basketball,3
1920,Athletics,3
1920,Swimming,1
1920,Gymnastics,1
1920,Cycling,1
1920,Rowing,3
1920,Fencing,5
1920,Boxing,5
1920,Wrestling,4
1920,Sailing,3
1920,Basketball,4
1924,Athletics,1
1924,Swimming,1
1924,Gymnastics,1
1924,Cycling,2
1924,Rowing,4
1924,Fencing,5
1924,Boxing,4
1924,Wrestling,3
1924,Sailing,4
1924,Basketball,6
1928,Athletics,1
1928,Swimming,1
1928,Gymnastics,2
1928,Cycling,4
1928,Rowing,5
1928,Fencing,4
1928,Boxing,3
1928,Wrestling,3
1928,Sailing,5
1928,Basketball,8
1932,Athletics,1
1932,Swimming,1
1932,Gymnastics,3
1932,Cycling,5
1932,Rowing,5
1932,Fencing,4
1932,Boxing,3
1932,Wrestling,5
1932,Sailing,7
1932,Basketball,10
1936,Athletics,1
1936,Swimming,2
1936,Gymnastics,4
1936,Cycling,5
1936,Rowing,4
1936,Fencing,3
1936,Boxing,4
1936,Wrestling,6
1936,Sailing,9
1936,Basketball,11
1948,Athletics,2
1948,Swimming,4
1948,Gymnastics,5
1948,Cycling,4
1948,Rowing,3
1948,Fencing,4
1948,Boxing,6
1948,Wrestling,8
1948,Sailing,11
1948,Basketball,11
1952,Athletics,3
1952,Swimming,5
1952,Gymnastics,4
1952,Cycling,4
1952,Rowing,3
1952,Fencing,5
1952,Boxing,7
1952,Wrestling,10
1952,Sailing,11
1952,Basketball,10
1956,Athletics,4
1956,Swimming,5
1956,Gymnastics,4
1956,Cycling,3
1956,Rowing,4
1956,Fencing,7
1956,Boxing,9
1956,Wrestling,11
1956,Sailing,10
1956,Basketball,8
1960,Athletics,5
1960,Swimming,4
1960,Gymnastics,3
1960,Cycling,4
1960,Rowing,6
1960,Fencing,9
1960,Boxing,10
1960,Wrestling,10
1960,Sailing,9
1960,Basketball,7
1964,Athletics,4
1964,Swimming,4
1964,Gymnastics,4
1964,Cycling,5
1964,Rowing,8
1964,Fencing,10
1964,Boxing,11
1964,Wrestling,9
1964,Sailing,7
1964,Basketball,6
1968,Athletics,4
1968,Swimming,3
1968,Gymnastics,4
1968,Cycling,7
1968,Rowing,9
1968,Fencing,10
1968,Boxing,10
1968,Wrestling,8
1968,Sailing,6
1968,Basketball,5
1972,Athletics,3
1972,Swimming,4
1972,Gymnastics,6
1972,Cycling,9
1972,Rowing,10
1972,Fencing,10
1972,Boxing,8
1972,Wrestling,6
1972,Sailing,5
1972,Basketball,6
1976,Athletics,4
1976,Swimming,5
1976,Gymnastics,8
1976,Cycling,10
1976,Rowing,10
1976,Fencing,9
1976,Boxing,6
1976,Wrestling,5
1976,Sailing,5
1976,Basketball,7
1980,Athletics,5
1980,Swimming,7
1980,Gymnastics,9
1980,Cycling,10
1980,Rowing,9
1980,Fencing,7
1980,Boxing,5
1980,Wrestling,5
1980,Sailing,6
1980,Basketball,8
1984,Athletics,6
1984,Swimming,9
1984,Gymnastics,10
1984,Cycling,9
1984,Rowing,7
1984,Fencing,5
1984,Boxing,5
1984,Wrestling,6
1984,Sailing,7
1984,Basketball,8
1988,Athletics,8
1988,Swimming,10
1988,Gymnastics,10
1988,Cycling,8
1988,Rowing,6
1988,Fencing,4
1988,Boxing,5
1988,Wrestling,7
1988,Sailing,8
1988,Basketball,8
1992,Athletics,9
1992,Swimming,10
1992,Gymnastics,8
1992,Cycling,6
1992,Rowing,4
1992,Fencing,4
1992,Boxing,6
1992,Wrestling,8
1992,Sailing,8
1992,Basketball,7
1996,Athletics,10
1996,Swimming,9
1996,Gymnastics,6
1996,Cycling,4
1996,Rowing,4
1996,Fencing,5
1996,Boxing,7
1996,Wrestling,8
1996,Sailing,8
1996,Basketball,6
2000,Athletics,9
2000,Swimming,7
2000,Gymnastics,5
2000,Cycling,4
2000,Rowing,5
2000,Fencing,6
2000,Boxing,8
2000,Wrestling,8
2000,Sailing,7
2000,Basketball,6
2004,Athletics,7
2004,Swimming,5
2004,Gymnastics,4
2004,Cycling,4
2004,Rowing,6
2004,Fencing,7
2004,Boxing,8
2004,Wrestling,7
2004,Sailing,6
2004,Basketball,6
2008,Athletics,6
2008,Swimming,4
2008,Gymnastics,4
2008,Cycling,5
2008,Rowing,7
2008,Fencing,8
2008,Boxing,7
2008,Wrestling,6
2008,Sailing,6
2008,Basketball,8
2012,Athletics,4
2012,Swimming,3
2012,Gymnastics,4
2012,Cycling,6
2012,Rowing,8
2012,Fencing,8
2012,Boxing,7
2012,Wrestling,6
2012,Sailing,7
2012,Basketball,9
2016,Athletics,3
2016,Swimming,4
2016,Gymnastics,5
2016,Cycling,7
2016,Rowing,8
2016,Fencing,7
2016,Boxing,6
2016,Wrestling,7
2016,Sailing,9
2016,Basketball,12
