date,segment,count
Jun 22,active,38
Jun 22,at-risk,24
Jun 22,dropout,14
Jun 29,active,44
Jun 29,at-risk,31
Jun 29,dropout,19
Jul 06,active,50
Jul 06,at-risk,14
Jul 06,dropout,6
Jul 13,active,32
Jul 13,at-risk,21
Jul 13,dropout,11
Jul 20,active,38
Jul 20,at-risk,28
Jul 20,dropout,16
Jul 27,active,44
Jul 27,at-risk,11
Jul 27,dropout,21
Aug 03,active,26
Aug 03,at-risk,18
Aug 03,dropout,8
Aug 10,active,32
Aug 10,at-risk,25
Aug 10,dropout,13
Aug 17,active,38
Aug 17,at-risk,32
Aug 17,dropout,18
Aug 24,active,20
Aug 24,at-risk,15
Aug 24,dropout,5
Aug 31,active,26
Aug 31,at-risk,22
Aug 31,dropout,10
Sep 07,active,32
Sep 07,at-risk,29
Sep 07,dropout,15
Sep 14,active,14
Sep 14,at-risk,12
Sep 14,dropout,20
Sep 21,active,20
Sep 21,at-risk,19
Sep 21,dropout,7
Sep 28,active,26
Sep 28,at-risk,26
Sep 28,dropout,12
