id,learner,week,video,quiz,forum,assignment
steady-1-0,steady-1,0,8,10,3,5
steady-1-1,steady-1,1,2,5,8,2
steady-1-2,steady-1,2,5,9,4,8
steady-1-3,steady-1,3,8,4,9,5
steady-1-4,steady-1,4,2,8,5,2
steady-1-5,steady-1,5,5,3,10,8
steady-1-6,steady-1,6,8,7,6,5
steady-1-7,steady-1,7,2,2,2,2
steady-1-8,steady-1,8,5,6,7,8
steady-1-9,steady-1,9,8,10,3,5
steady-2-0,steady-2,0,5,9,4,8
steady-2-1,steady-2,1,2,8,5,2
steady-2-2,steady-2,2,8,7,6,5
steady-2-3,steady-2,3,5,6,7,8
steady-2-4,steady-2,4,2,5,8,2
steady-2-5,steady-2,5,8,4,9,5
steady-2-6,steady-2,6,5,3,10,8
steady-2-7,steady-2,7,2,2,2,2
steady-2-8,steady-2,8,8,10,3,5
steady-2-9,steady-2,9,5,9,4,8
steady-3-0,steady-3,0,2,8,5,2
steady-3-1,steady-3,1,2,2,2,2
steady-3-2,steady-3,2,2,5,8,2
steady-3-3,steady-3,3,2,8,5,2
steady-3-4,steady-3,4,2,2,2,2
steady-3-5,steady-3,5,2,5,8,2
steady-3-6,steady-3,6,2,8,5,2
steady-3-7,steady-3,7,2,2,2,2
steady-3-8,steady-3,8,2,5,8,2
steady-3-9,steady-3,9,2,8,5,2
steady-4-0,steady-4,0,8,7,6,5
steady-4-1,steady-4,1,2,5,8,2
steady-4-2,steady-4,2,5,3,10,8
steady-4-3,steady-4,3,8,10,3,5
steady-4-4,steady-4,4,2,8,5,2
steady-4-5,steady-4,5,5,6,7,8
steady-4-6,steady-4,6,8,4,9,5
steady-4-7,steady-4,7,2,2,2,2
steady-4-8,steady-4,8,5,9,4,8
steady-4-9,steady-4,9,8,7,6,5
early-risk-1-0,early-risk-1,0,5,6,7,8
early-risk-1-1,early-risk-1,1,2,8,5,2
early-risk-1-2,early-risk-1,2,8,10,3,5
early-risk-1-3,early-risk-1,3,5,3,10,8
early-risk-1-4,early-risk-1,4,2,5,8,2
early-risk-1-5,early-risk-1,5,8,7,6,5
early-risk-1-6,early-risk-1,6,5,9,4,8
early-risk-2-0,early-risk-2,0,2,5,8,2
early-risk-2-1,early-risk-2,1,2,2,2,2
early-risk-2-2,early-risk-2,2,2,8,5,2
early-risk-2-3,early-risk-2,3,2,5,8,2
early-risk-2-4,early-risk-2,4,2,2,2,2
early-risk-2-5,early-risk-2,5,2,8,5,2
early-risk-2-6,early-risk-2,6,2,5,8,2
early-risk-2-7,early-risk-2,7,2,2,2,2
early-risk-3-0,early-risk-3,0,8,4,9,5
early-risk-3-1,early-risk-3,1,2,5,8,2
early-risk-3-2,early-risk-3,2,5,6,7,8
early-risk-3-3,early-risk-3,3,8,7,6,5
early-risk-3-4,early-risk-3,4,2,8,5,2
early-risk-3-5,early-risk-3,5,5,9,4,8
early-risk-4-0,early-risk-4,0,5,3,10,8
early-risk-4-1,early-risk-4,1,2,8,5,2
early-risk-4-2,early-risk-4,2,8,4,9,5
early-risk-4-3,early-risk-4,3,5,9,4,8
early-risk-4-4,early-risk-4,4,2,5,8,2
early-risk-4-5,early-risk-4,5,8,10,3,5
early-risk-4-6,early-risk-4,6,5,6,7,8
mid-risk-1-0,mid-risk-1,0,2,2,2,2
mid-risk-1-1,mid-risk-1,1,2,2,2,2
mid-risk-1-2,mid-risk-1,2,2,2,2,2
mid-risk-1-3,mid-risk-1,3,2,2,2,2
mid-risk-1-4,mid-risk-1,4,2,2,2,2
mid-risk-1-5,mid-risk-1,5,2,2,2,2
mid-risk-2-0,mid-risk-2,0,8,10,3,5
mid-risk-2-1,mid-risk-2,1,2,5,8,2
mid-risk-2-2,mid-risk-2,2,5,9,4,8
mid-risk-2-3,mid-risk-2,3,8,4,9,5
mid-risk-3-0,mid-risk-3,0,5,9,4,8
mid-risk-3-1,mid-risk-3,1,2,8,5,2
mid-risk-3-2,mid-risk-3,2,8,7,6,5
mid-risk-3-3,mid-risk-3,3,5,6,7,8
mid-risk-3-4,mid-risk-3,4,2,5,8,2
mid-risk-4-0,mid-risk-4,0,2,8,5,2
mid-risk-4-1,mid-risk-4,1,2,2,2,2
mid-risk-4-2,mid-risk-4,2,2,5,8,2
mid-risk-4-3,mid-risk-4,3,2,8,5,2
mid-risk-4-4,mid-risk-4,4,2,2,2,2
mid-risk-4-5,mid-risk-4,5,2,5,8,2
recovering-1-0,recovering-1,0,8,7,6,5
recovering-1-1,recovering-1,1,2,5,8,2
recovering-1-2,recovering-1,2,5,3,10,8
recovering-1-3,recovering-1,3,8,10,3,5
recovering-1-4,recovering-1,4,2,8,5,2
recovering-1-5,recovering-1,5,5,6,7,8
recovering-1-6,recovering-1,6,8,4,9,5
recovering-1-7,recovering-1,7,2,2,2,2
recovering-2-0,recovering-2,0,5,6,7,8
recovering-2-1,recovering-2,1,2,8,5,2
recovering-2-2,recovering-2,2,8,10,3,5
recovering-2-3,recovering-2,3,5,3,10,8
recovering-2-4,recovering-2,4,2,5,8,2
recovering-2-5,recovering-2,5,8,7,6,5
recovering-2-6,recovering-2,6,5,9,4,8
recovering-2-7,recovering-2,7,2,2,2,2
recovering-2-8,recovering-2,8,8,4,9,5
recovering-3-0,recovering-3,0,2,5,8,2
recovering-3-1,recovering-3,1,2,2,2,2
recovering-3-2,recovering-3,2,2,8,5,2
recovering-3-3,recovering-3,3,2,5,8,2
recovering-3-4,recovering-3,4,2,2,2,2
recovering-3-5,recovering-3,5,2,8,5,2
recovering-3-6,recovering-3,6,2,5,8,2
recovering-3-7,recovering-3,7,2,2,2,2
recovering-3-8,recovering-3,8,2,8,5,2
recovering-3-9,recovering-3,9,2,5,8,2
recovering-4-0,recovering-4,0,8,4,9,5
recovering-4-1,recovering-4,1,2,5,8,2
recovering-4-2,recovering-4,2,5,6,7,8
recovering-4-3,recovering-4,3,8,7,6,5
recovering-4-4,recovering-4,4,2,8,5,2
recovering-4-5,recovering-4,5,5,9,4,8
recovering-4-6,recovering-4,6,8,10,3,5
recovering-4-7,recovering-4,7,2,2,2,2
