date,type,value
18-Jun,posts,14.687349
18-Jun,posts,15.639230
18-Jun,posts,14.614433
18-Jun,posts,12.151832
18-Jun,posts,9.576336
18-Jun,posts,8.288081
18-Jun,posts,9.004467
18-Jun,posts,11.363858
18-Jun,posts,14.108420
18-Jun,posts,15.753514
18-Jun,posts,15.387962
18-Jun,posts,13.175152
18-Jun,posts,10.281017
18-Jun,posts,8.260075
18-Jun,posts,8.222646
18-Jun,posts,10.228357
18-Jun,posts,13.235597
18-Jun,posts,15.642720
18-Jun,posts,16.139662
18-Jun,posts,14.417829
18-Jun,posts,11.355026
18-Jun,posts,8.567341
18-Jun,posts,7.557040
18-Jun,posts,8.905457
18-Jun,posts,11.943366
18-Jun,posts,15.083588
18-Jun,posts,37.000000
18-Jun,posts,49.000000
18-Jun,views,17.782623
18-Jun,views,20.225067
18-Jun,views,19.998098
18-Jun,views,17.269293
18-Jun,views,13.536323
18-Jun,views,10.809583
18-Jun,views,10.532689
18-Jun,views,12.818986
18-Jun,views,16.407479
18-Jun,views,19.353882
18-Jun,views,20.080118
18-Jun,views,18.217593
18-Jun,views,14.794549
18-Jun,views,11.672119
18-Jun,views,10.536686
18-Jun,views,11.992109
18-Jun,views,15.239059
18-Jun,views,18.511501
18-Jun,views,20.033154
18-Jun,views,18.977809
18-Jun,views,15.916123
18-Jun,views,12.508126
18-Jun,views,10.606605
18-Jun,views,11.254063
18-Jun,views,14.114281
18-Jun,views,17.647000
18-Jun,views,40.300000
18-Jun,views,61.300000
25-Jun,posts,22.657132
25-Jun,posts,20.997831
25-Jun,posts,14.492991
25-Jun,posts,10.421987
25-Jun,posts,14.013531
25-Jun,posts,22.296520
25-Jun,posts,26.908022
25-Jun,posts,22.977391
25-Jun,posts,14.414561
25-Jun,posts,9.787616
25-Jun,posts,13.261879
25-Jun,posts,20.444162
25-Jun,posts,23.520442
25-Jun,posts,19.855858
25-Jun,posts,14.543322
25-Jun,posts,14.252670
25-Jun,posts,19.450833
25-Jun,posts,23.813584
25-Jun,posts,21.515870
25-Jun,posts,14.174912
25-Jun,posts,9.505757
25-Jun,posts,12.964215
25-Jun,posts,21.556788
25-Jun,posts,26.755788
25-Jun,posts,23.479894
25-Jun,posts,15.402901
25-Jun,posts,45.300000
25-Jun,posts,60.900000
25-Jun,posts,67.900000
25-Jun,views,25.972717
25-Jun,views,25.240487
25-Jun,views,18.307577
25-Jun,views,13.771331
25-Jun,views,17.961472
25-Jun,views,27.285709
25-Jun,views,31.706569
25-Jun,views,25.735743
25-Jun,views,14.809238
25-Jun,views,9.827558
25-Jun,views,15.645765
