field,year,age
Physics,1901,55
Physics,1922,43
Physics,1945,62
Physics,1965,47
Physics,1988,59
Physics,2012,68
Physics,2023,64
Chemistry,1902,50
Chemistry,1929,51
Chemistry,1954,53
Chemistry,1979,60
Chemistry,1996,63
Chemistry,2018,72
Chemistry,2023,62
Medicine,1901,49
Medicine,1930,63
Medicine,1952,54
Medicine,1977,56
Medicine,2008,72
Medicine,2015,84
Medicine,2023,68
Literature,1901,62
Literature,1923,58
Literature,1949,52
Literature,1967,68
Literature,1993,62
Literature,2016,75
Literature,2023,64
Peace,1901,73
Peace,1931,71
Peace,1964,35
Peace,1979,69
Peace,1993,75
Peace,2014,17
Peace,2023,51
Economics,1969,66
Economics,1976,64
Economics,1994,66
Economics,2002,68
Economics,2019,46
Economics,2021,65
Economics,2023,77
