year,male,female,pac
1896,253,7,12
1900,772,32,25
1904,1133,66,36
1908,1295,97,41
1912,1332,124,42
1920,1393,155,41
1924,1599,208,40
1928,1971,294,42
1932,2417,410,49
1936,2801,534,61
1948,3020,641,75
1952,3075,721,87
1956,3062,789,96
1960,3111,877,100
1964,3303,1014,100
1968,3620,1206,98
1972,3960,1428,98
1976,4208,1636,102
1980,4300,1800,111
1984,4355,1956,123
1988,4385,2111,137
1992,4495,2316,149
1996,4727,2601,156
2000,5036,2957,158
2004,5323,3333,157
2008,5501,3668,156
2012,5545,3934,157
2016,5508,4155,162
