year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2008,0.05,1.18,0.44,3.48,7.2,0.82,2.86,2.18,0.36,0.08,0,0
2009,0.04,1.35,4.8,3.4,3.85,5.55,3.05,0.42,2.95,0.22,0,0
2010,1.9,1.58,0.74,5.8,5.05,1.42,4.85,2.72,1.55,0.02,0,0
2011,0.26,0.02,3.9,6.15,1.12,3.25,0.28,1.65,1.12,0,0.05,0.18
2012,0.34,0.04,1.18,1.05,0.95,0.55,5.2,3.85,1.35,0,0,0.02
2013,0.01,0.02,1.58,3.55,5.92,0.04,0.48,1.22,0,0.32,0.02,0
2014,0.22,0.08,1.22,0.12,1.72,8.35,2.35,0.55,0.28,0.52,0,0.08
2015,0,0.22,1.44,5.98,1.02,5.65,3.9,0.9,0,0.06,0,0.08
2016,0.16,0,1.88,3.85,6.95,8.9,2.45,0.98,1.95,0,0,0.03
2017,0.01,0.04,4.95,5.05,0.32,4.25,0.22,1.65,0.18,0.06,0,0
2018,0,0,0,0,5.85,4.45,1.6,3.28,0.14,0,0,0
