genre,value
Drama,18
Drama,25
Drama,32
Drama,39
Drama,46
Drama,22
Drama,29
Drama,36
Drama,43
Drama,19
Drama,26
Drama,33
Drama,40
Drama,47
Drama,23
Drama,30
Drama,37
Drama,44
Drama,20
Drama,27
Comedy,26
Comedy,33
Comedy,40
Comedy,47
Comedy,23
Comedy,30
Comedy,37
Comedy,44
Comedy,51
Comedy,27
Comedy,34
Comedy,41
Comedy,48
Comedy,24
Comedy,31
Comedy,38
Comedy,45
Comedy,21
Comedy,28
Comedy,35
Thriller,34
Thriller,41
Thriller,48
Thriller,24
Thriller,31
Thriller,38
Thriller,45
Thriller,52
Thriller,28
Thriller,35
Thriller,42
Thriller,49
Thriller,25
Thriller,32
Thriller,39
Thriller,46
Thriller,53
Thriller,29
Thriller,36
Thriller,43
Crime,42
Crime,49
Crime,56
Crime,32
Crime,39
Crime,46
Crime,53
Crime,29
Crime,36
Crime,43
Crime,50
Crime,57
Crime,33
Crime,40
Crime,47
Crime,54
Crime,30
Crime,37
Crime,44
Crime,51
Action,50
Action,57
Action,33
Action,40
Action,47
Action,54
Action,30
Action,37
Action,44
Action,51
Action,58
Action,34
Action,41
Action,48
Action,55
Action,31
Action,38
Action,45
Action,52
Action,59
Romance,58
Romance,34
Romance,41
Romance,48
Romance,55
Romance,62
Romance,38
Romance,45
Romance,52
Romance,59
Romance,35
Romance,42
Romance,49
Romance,56
Romance,63
Romance,39
Romance,46
Romance,53
Romance,60
Romance,36
Adventure,66
Adventure,42
Adventure,49
Adventure,56
Adventure,63
Adventure,39
Adventure,46
Adventure,53
Adventure,60
Adventure,36
Adventure,43
Adventure,50
Adventure,57
Adventure,64
Adventure,40
Adventure,47
Adventure,54
Adventure,61
Adventure,37
Adventure,44
Sci-Fi,43
Sci-Fi,50
Sci-Fi,57
Sci-Fi,64
Sci-Fi,40
Sci-Fi,47
Sci-Fi,54
Sci-Fi,61
Sci-Fi,68
Sci-Fi,44
Sci-Fi,51
Sci-Fi,58
Sci-Fi,65
Sci-Fi,41
Sci-Fi,48
Sci-Fi,55
Sci-Fi,62
Sci-Fi,69
Sci-Fi,45
Sci-Fi,52
Fantasy,51
Fantasy,58
Fantasy,65
Fantasy,72
Fantasy,48
Fantasy,55
Fantasy,62
Fantasy,69
Fantasy,45
Fantasy,52
Fantasy,59
Fantasy,66
Fantasy,42
Fantasy,49
Fantasy,56
Fantasy,63
Fantasy,70
Fantasy,46
Fantasy,53
Fantasy,60
